epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.504,3.03952,3.51361,3.62995,0.07113,0.04876,0.01994,0.00563,2.91918,3.49862,3.50581,0.000663082,0.000663082,0.000663082
2,1721.97,2.41543,2.69805,2.67693,0.34812,0.36845,0.31294,0.10599,2.16974,2.77336,2.48871,0.0011981,0.0011981,0.0011981
3,2544.32,2.0977,2.18583,2.34643,0.62734,0.51674,0.56779,0.26383,1.84211,1.94144,2.16721,0.00160113,0.00160113,0.00160113
4,3366.43,1.9054,1.83468,2.14448,0.74486,0.63173,0.70692,0.36557,1.75655,1.69361,2.06593,0.001406,0.001406,0.001406
5,4187.4,1.77249,1.5898,1.99937,0.83837,0.74745,0.82942,0.46839,1.65342,1.40221,1.98299,0.001208,0.001208,0.001208
6,5008.69,1.66767,1.38739,1.90954,0.92191,0.82751,0.91316,0.5388,1.52418,1.14799,1.82331,0.00101,0.00101,0.00101
7,5831.34,1.54678,1.22729,1.79898,0.92078,0.85436,0.9195,0.58834,1.36024,1.04921,1.72387,0.000812,0.000812,0.000812
8,6653.91,1.48694,1.11952,1.73961,0.90815,0.89156,0.93958,0.62667,1.29961,0.93052,1.64793,0.000614,0.000614,0.000614
9,7484.66,1.39998,1.02214,1.67667,0.94395,0.88937,0.95091,0.64824,1.25072,0.86648,1.61964,0.000416,0.000416,0.000416
10,8314.79,1.32683,0.95572,1.61579,0.95495,0.91029,0.96049,0.67228,1.22191,0.81715,1.58946,0.000218,0.000218,0.000218
